task_id,task_type,task_cpu_required,task_data_size_mb,deadline,node_id,node_queue_at_dispatch,node_load_at_dispatch,node_cpu_speed,creation_time,completion_time,latency,waiting_time,energy_consumed,predicted_latency,predicted_energy
0-49,SENSOR_DATA_LOGGING,750.2122109634464,0.1,10000,CloudNode,0,0.0,12000.0,107.97853563037123,310.63533796587853,202.6568023355073,52.519225662116185,31.25884212347693,,
9-71,SENSOR_DATA_LOGGING,77.58758995815195,0.1,10000,CloudNode,0,0.0,12000.0,108.81559366012833,312.2484018751742,203.43280821504584,100.35886702674188,3.232816248256331,,
5-51,SMART_HOME_CONTROL,881.1420541478319,0.1,150,CloudNode,0,0.0,12000.0,85.91571440738888,312.91179306444064,226.99607865705178,47.85367320607247,36.71425225615967,,
2-38,SENSOR_DATA_LOGGING,880.3506162547714,0.1,10000,CloudNode,0,0.0,12000.0,88.75089853617186,312.9804766277286,224.22957809155673,45.9734534930723,36.68127567728214,,
8-8,GPS_TRACKING,329.2365350182616,0.2,200,FogNode_0,0,0.0,1189.2931772946604,14.199635143113174,315.4308519361596,301.2312167930464,0.0,20.96386842671528,,
9-22,SENSOR_DATA_LOGGING,90.23116379996122,0.1,10000,FogNode_2,0,0.6666666666666666,681.967788340379,33.42045485176478,316.8281424134374,283.4076875616726,133.40891803739675,11.0753361710234,,
9-69,SENSOR_DATA_LOGGING,59.759557329771646,0.1,10000,CloudNode,0,0.0,12000.0,103.30089100132062,317.9604397385429,214.65954873722228,107.1303808780161,2.4899815554071516,,
6-35,SENSOR_DATA_LOGGING,871.0065389321343,0.1,10000,CloudNode,0,0.0,12000.0,81.83473143732695,320.287344879154,238.45261344182703,52.15815122137232,36.29193912217226,,
9-56,GPS_TRACKING,973.4711364454771,0.2,200,CloudNode,0,0.0,12000.0,73.31647279522917,320.450261755562,247.13378896033282,47.95812876893086,40.56129735189488,,
8-54,GPS_TRACKING,967.582851376854,0.2,200,CloudNode,0,0.0,12000.0,118.29393965828012,321.14868820784056,202.85474854956044,45.37280717217351,40.31595214070225,,
7-51,GPS_TRACKING,253.9036124821239,0.2,200,CloudNode,0,0.0,12000.0,106.5545794097805,323.46666244649174,216.91208303671124,97.49871341959198,10.579317186755162,,
